시도별,주요 업종별,시점,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
부산광역시,"김밥, 기타 간이음식점 및 포장 판매점",2019,812,2758,156776,133123,71515,26062,18616,16931,25114
부산광역시,"김밥, 기타 간이음식점 및 포장 판매점",2020,1000,2885,174946,157036,87672,24087,14095,31182,21779
부산광역시,생맥주 및 기타 주점업,2018,626,2003,121828,110893,-,21253,13108,76532,15938
부산광역시,생맥주 및 기타 주점업,2019,553,1641,103129,85561,45864,15113,11411,13173,14615
부산광역시,생맥주 및 기타 주점업,2020,529,1400,81785,72163,33473,13327,9330,16033,12040
부산광역시,커피 및 기타 비알코올 음료점업,2018,1265,5828,252893,224743,-,49681,34413,140649,47572
부산광역시,커피 및 기타 비알코올 음료점업,2019,1392,6313,278103,242904,104794,63017,37626,37467,59698
부산광역시,커피 및 기타 비알코올 음료점업,2020,1626,6202,272580,243223,94790,58585,39188,50659,56996
부산광역시,자동차 전문 수리업,2018,371,1452,167714,148610,-,37446,5255,105909,30737
부산광역시,자동차 전문 수리업,2019,378,1495,164931,142280,72749,38009,8385,23137,36618
부산광역시,자동차 전문 수리업,2020,332,1273,157396,141926,73065,34207,5247,29408,30993
부산광역시,두발 미용업,2018,216,1349,56595,50480,-,15826,6941,27713,13151
부산광역시,두발 미용업,2019,224,1340,63328,54347,12303,14025,9142,18876,12766
부산광역시,두발 미용업,2020,224,1176,57102,55787,13911,17518,6825,17533,13976
부산광역시,가정용 세탁업,2018,340,685,35424,29465,-,4839,2719,21907,4154
부산광역시,가정용 세탁업,2019,362,719,44182,35433,12578,5433,4428,12993,4723
부산광역시,가정용 세탁업,2020,355,524,33786,30194,13131,2477,2781,11805,2173
부산광역시,기타 프랜차이즈,2018,1429,4695,352575,311323,-,43932,33792,233599,39570
부산광역시,기타 프랜차이즈,2019,1469,4688,419986,410502,250766,74930,34863,49943,72061
부산광역시,기타 프랜차이즈,2020,1492,4579,430122,422779,242532,59306,41003,79939,53274
대구광역시,체인화 편의점,2018,1436,6028,662803,639139,-,44148,20563,574428,38527
대구광역시,체인화 편의점,2019,1450,6000,685132,647654,481947,46081,29312,90314,44960
대구광역시,체인화 편의점,2020,1734,5897,676408,682139,491426,42843,17608,130262,38629
대구광역시,문구용품 및 회화용품 소매업,2018,27,68,10504,9367,-,738,488,8141,638
대구광역시,문구용품 및 회화용품 소매업,2019,28,66,11422,10887,8585,846,575,881,789
대구광역시,문구용품 및 회화용품 소매업,2020,31,67,12049,11335,8743,752,547,1293,684
대구광역시,의약품 및 의료용품 소매업,2018,172,518,152888,136897,-,9773,3983,123141,8683
대구광역시,의약품 및 의료용품 소매업,2019,179,568,139286,131158,105023,11177,5850,9108,10113
대구광역시,의약품 및 의료용품 소매업,2020,183,538,154589,141894,118171,8280,4359,11084,7383
대구광역시,안경 및 렌즈 소매업,2018,163,481,54596,47150,-,8799,6760,31591,7761
대구광역시,안경 및 렌즈 소매업,2019,153,469,55120,47309,28638,8213,5865,4593,7822
대구광역시,안경 및 렌즈 소매업,2020,151,432,49369,44965,25736,6969,5633,6627,6862
대구광역시,한식 음식점업,2018,1360,5834,393375,352184,-,68277,35304,248603,65182
대구광역시,한식 음식점업,2019,1431,5765,411673,356003,187731,75330,39849,53091,73944
대구광역시,한식 음식점업,2020,1658,5243,387317,369083,179010,70114,34538,85421,64564
대구광역시,외국식 음식점업,2018,353,1924,111536,98476,-,24461,9729,64286,22718
대구광역시,외국식 음식점업,2019,319,1600,106188,93168,45707,25070,9575,12816,24312
대구광역시,외국식 음식점업,2020,314,1367,95627,91376,41876,20003,7844,21654,18889
대구광역시,제과점업,2018,362,1683,129638,120655,-,14502,9265,96888,13589
대구광역시,제과점업,2019,350,1589,121704,104103,62032,19880,9835,12357,19609
대구광역시,제과점업,2020,358,1513,125300,117117,76772,13304,8472,18569,12751
대구광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,498,2738,149804,136971,-,26741,9365,100865,24683
대구광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,512,2830,165214,146247,80835,30138,11323,23951,28995
대구광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,588,2613,181507,170867,89045,29233,13049,39540,28388
대구광역시,치킨전문점,2018,1239,2936,175798,146191,-,11044,10290,124857,10187
대구광역시,치킨전문점,2019,1279,2838,217461,178672,119353,10458,12758,36104,10171
대구광역시,치킨전문점,2020,1288,2617,222989,193642,112713,14853,11215,54862,12925
대구광역시,"김밥, 기타 간이음식점 및 포장 판매점",2018,731,2362,111019,96721,-,16446,10741,69534,15500
대구광역시,"김밥, 기타 간이음식점 및 포장 판매점",2019,749,2462,144169,117923,67267,19517,13612,17528,19233
대구광역시,"김밥, 기타 간이음식점 및 포장 판매점",2020,832,2285,141528,125704,69719,18688,12419,24878,16472
대구광역시,생맥주 및 기타 주점업,2018,455,1254,74852,63365,-,9590,7574,46201,8939
대구광역시,생맥주 및 기타 주점업,2019,408,1037,61072,47439,26413,8439,7365,5221,7942
대구광역시,생맥주 및 기타 주점업,2020,407,945,52671,46461,22791,7648,4933,11090,7266
대구광역시,커피 및 기타 비알코올 음료점업,2018,779,3672,176880,148503,-,34325,20655,93523,32551
대구광역시,커피 및 기타 비알코올 음료점업,2019,833,3949,209488,177410,83452,43385,21849,28723,41511
대구광역시,커피 및 기타 비알코올 음료점업,2020,1001,3979,211897,181798,73950,41844,24409,41595,39703
대구광역시,자동차 전문 수리업,2018,386,1309,147161,129359,-,32200,4275,92884,25915
대구광역시,자동차 전문 수리업,2019,380,1374,153063,134872,79310,30859,6944,17758,29365
대구광역시,자동차 전문 수리업,2020,284,1156,132685,115371,63970,28061,3191,20150,25877
대구광역시,두발 미용업,2018,104,350,12659,10775,-,3459,1755,5561,2943
대구광역시,두발 미용업,2019,75,259,10710,9027,2032,2588,1729,2678,2469
대구광역시,두발 미용업,2020,97,325,10898,11198,3039,3986,1961,2212,3802
대구광역시,가정용 세탁업,2018,189,343,16162,13068,-,2443,1681,8944,2259
대구광역시,가정용 세탁업,2019,202,396,22664,17645,8527,2950,2179,3988,2754
대구광역시,가정용 세탁업,2020,205,296,17027,13669,3440,1832,1424,6973,1778
대구광역시,기타 프랜차이즈,2018,1057,3303,268939,243432,-,31646,22263,189523,29841
대구광역시,기타 프랜차이즈,2019,1108,3239,269280,235501,153064,34726,23356,24354,33351
대구광역시,기타 프랜차이즈,2020,1159,3169,311894,290594,194185,27682,20590,48137,24019
인천광역시,체인화 편의점,2018,2189,9971,1238715,1177055,-,89527,39080,1048448,74567
인천광역시,체인화 편의점,2019,2206,11122,1319166,1224684,958182,94636,49189,122677,91235
인천광역시,체인화 편의점,2020,2501,10831,1299442,1299896,938607,102197,42466,216626,95894
인천광역시,문구용품 및 회화용품 소매업,2018,79,234,32407,28782,-,2763,1708,24311,2572
인천광역시,문구용품 및 회화용품 소매업,2019,77,226,28475,26164,19181,2662,1785,2536,2500
인천광역시,문구용품 및 회화용품 소매업,2020,75,220,27913,25443,18769,2083,1329,3262,1861
인천광역시,의약품 및 의료용품 소매업,2018,190,685,243297,221883,-,17573,6306,198004,15303
인천광역시,의약품 및 의료용품 소매업,2019,197,867,315588,295917,248969,22065,9105,15777,20424
인천광역시,의약품 및 의료용품 소매업,2020,202,812,318193,296687,248088,18500,10309,19790,17618
인천광역시,안경 및 렌즈 소매업,2018,158,469,54488,46657,-,8864,7269,30524,8172
인천광역시,안경 및 렌즈 소매업,2019,165,482,62758,54008,30909,9304,8611,5184,8985
인천광역시,안경 및 렌즈 소매업,2020,147,436,49179,44924,22352,8668,6979,6925,8107
인천광역시,한식 음식점업,2018,1722,7296,530736,467502,-,93763,49635,324104,89713
인천광역시,한식 음식점업,2019,1753,7387,561786,492288,278155,111956,49874,52302,108685
인천광역시,한식 음식점업,2020,2085,6680,530461,500661,263378,93218,46517,97548,81630
인천광역시,외국식 음식점업,2018,385,2353,158987,139910,-,35298,12819,91793,32639
인천광역시,외국식 음식점업,2019,393,2199,167856,153081,72571,39240,16151,25118,38023
인천광역시,외국식 음식점업,2020,466,2171,161867,155566,68205,38943,15283,33134,37880
인천광역시,제과점업,2018,397,1924,175962,161354,-,18855,12729,129770,17784
인천광역시,제과점업,2019,380,2064,162160,144672,86952,24148,14117,19454,23900
인천광역시,제과점업,2020,417,2090,177472,169884,107942,22436,12407,27099,22244
인천광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,657,3334,199592,173184,-,33438,15691,124055,31517
인천광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,682,3509,221749,205670,111234,35986,16429,42020,35168
인천광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,754,3154,235596,216811,114729,37095,15877,49110,33339
인천광역시,치킨전문점,2018,1289,3415,240395,205901,-,20574,16340,168987,18613
인천광역시,치킨전문점,2019,1321,3545,318149,269411,179316,26060,19611,44424,25462
인천광역시,치킨전문점,2020,1460,3315,335951,292723,178307,26159,24051,64206,24163
인천광역시,"김밥, 기타 간이음식점 및 포장 판매점",2018,685,2438,133046,116259,-,20616,12651,82992,19896
인천광역시,"김밥, 기타 간이음식점 및 포장 판매점",2019,686,2808,151013,132839,74924,24466,14632,18817,24222
인천광역시,"김밥, 기타 간이음식점 및 포장 판매점",2020,860,2607,157220,139996,73928,22728,14060,29280,21711
인천광역시,생맥주 및 기타 주점업,2018,615,2074,140277,119981,-,21055,14915,84011,19538
인천광역시,생맥주 및 기타 주점업,2019,545,1733,131240,112190,60043,20025,14574,17549,19551
인천광역시,생맥주 및 기타 주점업,2020,603,1689,123658,110441,53044,17941,13865,25590,15587
인천광역시,커피 및 기타 비알코올 음료점업,2018,986,4277,182359,156457,-,35555,23557,97345,34334
인천광역시,커피 및 기타 비알코올 음료점업,2019,1049,4890,216530,183969,81548,45247,28839,28335,44657
인천광역시,커피 및 기타 비알코올 음료점업,2020,1260,4714,217988,193799,76118,42265,27469,47947,36776
인천광역시,자동차 전문 수리업,2018,295,1334,155085,138895,-,40061,6137,92697,32798
인천광역시,자동차 전문 수리업,2019,292,1440,163457,150115,82279,42074,6323,19438,40380
인천광역시,자동차 전문 수리업,2020,269,1391,165770,151660,76755,38934,7163,28808,36192
인천광역시,두발 미용업,2018,263,1441,64868,57259,-,16864,6887,33508,14017
인천광역시,두발 미용업,2019,275,1360,64865,57242,14719,21906,7875,12743,18907
인천광역시,두발 미용업,2020,282,1330,66215,62901,13448,18862,8085,22506,15930
